"","State_Region","Township"
"1","KAYIN","HPA-AN"
"269","KAYIN","HLAINGBWE"
"881","KAYIN","THANDAUNGGYI"
"1231","KAYIN","KAWKAREIK"
"1886","KAYIN","KYAINSEIKGYI"
"1939","TANINTHARYI","DAWEI"
"2695","TANINTHARYI","LAUNGLON"
"3332","TANINTHARYI","THAYETCHAUNG"
"3799","TANINTHARYI","YEBYU"
"4388","TANINTHARYI","MYEIK"
"5491","TANINTHARYI","KYUNSU"
"6477","TANINTHARYI","PALAW"
"7071","TANINTHARYI","TANINTHARYI"
"7755","TANINTHARYI","KAWTHOUNG"
"8556","TANINTHARYI","BOKPYIN"
"9606","MON","MAWLAMYINE"
"9964","MON","KYAIKMARAW"
"10012","MON","CHAUNGZON"
"10360","MON","THANBYUZAYAT"
"10904","MON","MUDON"
"11447","MON","YE"
"11584","MON","THATON"
"12241","MON","PAUNG"
"12906","MON","KYAIKTO"
"13490","MON","BILIN"
"14044","KACHIN","MYITKYINA"
"14700","KACHIN","BHAMO"
"15245","KACHIN","MOMAUK"
"15489","KACHIN","MANSI"
"15825","KAYAH","LOIKAW"
"16264","KAYAH","DEMOSO"
"16638","KAYAH","HPRUSO"
"16983","KAYAH","SHADAW"
"17145","KAYAH","BAWLAKHE"
"17371","KAYAH","HPASAWNG"
"17816","KAYAH","MESE"
"20818","KAYIN","HPAPUN"
"22147","KAYIN","MYAWADDY"
"37301","BAGOEAST","BAGO"
"37720","BAGOEAST","THANATPIN"
"37745","BAGOEAST","WAW"
"37802","BAGOEAST","NYAUNGLEBIN"
"38221","BAGOEAST","KYAUKTAGA"
"38551","BAGOEAST","DAIK-U"
"38648","BAGOEAST","SHWEGYIN"
"39022","BAGOEAST","TAUNGOO"
"39720","BAGOEAST","YEDASHE"
"40058","BAGOEAST","KYAUKKYI"
"40130","BAGOEAST","PHYU"
"40441","BAGOEAST","OKTWIN"
"40744","BAGOEAST","HTANTABIN"
"42318","MON","KYAIKMAYAW"
"43956","MON","THANBYUZAYET"
"75719","BAGOEAST","KAWA"
